Flu Season,≥ 6 months,6 months - 17 years,6 months - 4 years,5 - 12 years,13 - 17 years,≥ 18 years,18 - 64 years,18 - 49 years,50 -64 years,≥ 65 years
2015-2016,7822,2375,720,1121,534,5447,3719,1992,1727,1728
2015-2016,4740,2287,681,955,651,2453,1801,946,855,652
2015-2016,9739,2418,678,983,757,7321,3933,1859,2074,3388
2015-2016,5694,1896,566,797,533,3798,2017,850,1167,1781
2015-2016,9488,2437,834,1020,583,7051,5349,3452,1897,1702
2015-2016,10600,1846,584,799,463,8754,5807,3057,2750,2947
2015-2016,11758,2344,706,1110,528,9414,5764,2620,3144,3650
2015-2016,5144,2089,606,941,542,3055,1969,992,977,1086
2015-2016,4624,2425,833,1007,585,2199,1255,542,713,944
2015-2016,15430,2354,725,1015,614,13076,7698,3929,3769,5378
2015-2016,5874,2466,788,1131,547,3408,2140,1102,1038,1268
2015-2016,7604,2126,656,964,506,5478,3625,1888,1737,1853
2015-2016,6052,1669,493,702,474,4383,2750,1413,1337,1633
2015-2016,7893,4387,1347,1832,1208,3506,2338,1302,1036,1168
2015-2016,6760,1938,575,845,518,4822,2938,1448,1490,1884
2015-2016,7436,2242,671,1040,531,5194,3294,1616,1678,1900
2015-2016,12767,1675,509,670,496,11092,7217,3739,3478,3875
2015-2016,8733,1934,609,864,461,6799,4664,2383,2281,2135
2015-2016,6240,2208,626,965,617,4032,2436,1124,1312,1596
2015-2016,9654,2182,615,1023,544,7472,4631,2097,2534,2841
2015-2016,14683,2782,869,1262,651,11901,7468,3511,3957,4433
2015-2016,7863,2656,816,1223,617,5207,3673,2093,1580,1534
2015-2016,9405,1632,551,639,442,7773,5398,2932,2466,2375
2015-2016,13846,2447,757,1014,676,11399,8027,4502,3525,3372
2015-2016,6424,2322,697,1042,583,4102,2659,1426,1233,1443
2015-2016,7255,1822,572,744,506,5433,3278,1682,1596,2155
2015-2016,6873,1965,582,831,552,4908,2997,1449,1548,1911
2015-2016,13535,1974,564,775,635,11561,7574,4047,3527,3987
2015-2016,3752,1758,528,707,523,1994,1259,671,588,735
2015-2016,6924,1966,570,909,487,4958,2999,1284,1715,1959
2015-2016,7818,2758,885,1100,773,5060,3414,1741,1673,1646
2015-2016,6395,1891,531,842,518,4504,2916,1451,1465,1588
2015-2016,22196,5065,1732,2131,1202,17131,11474,5969,5505,5657
2015-2016,7226,2240,724,984,532,4986,3520,2008,1512,1466
2015-2016,5805,1667,531,658,478,4138,2686,1360,1326,1452
2015-2016,10516,1814,533,773,508,8702,5345,2605,2740,3357
2015-2016,6324,1712,527,700,485,4612,2677,1302,1375,1935
2015-2016,5231,1915,545,828,542,3316,2184,1244,940,1132
2015-2016,10370,4872,1496,2040,1336,5498,3895,2118,1777,1603
2015-2016,6784,2738,785,1393,560,4046,2532,1128,1404,1514
2015-2016,11089,2599,797,1173,629,8490,5045,2478,2567,3445
2015-2016,7041,2139,653,971,515,4902,3115,1547,1568,1787
2015-2016,5803,1862,565,782,515,3941,2438,1180,1258,1503
2015-2016,21564,12125,3560,5001,3564,9439,5810,3195,2615,3629
2015-2016,8627,1702,534,610,558,6925,5003,3161,1842,1922
2015-2016,6678,1964,562,975,427,4714,3191,1480,1711,1523
2015-2016,9032,2799,901,1263,635,6233,4248,2260,1988,1985
2015-2016,14147,2428,766,1029,633,11719,7380,3705,3675,4339
2015-2016,7627,2064,637,920,507,5563,3854,2025,1829,1709
2015-2016,5460,1943,575,850,518,3517,2331,1181,1150,1186
2015-2016,5668,1927,546,872,509,3741,2113,902,1211,1628
2015-2016,446013,126846,38713,54825,33308,319167,205848,105988,99860,113319
2015-2016,49661,13850,4054,6633,3163,35811,22790,10702,12088,13021
2015-2016,30014,7823,2617,3231,1975,22191,14888,7710,7178,7303
2015-2016,51480,17031,5342,7433,4256,34449,22689,11448,11241,11760
2015-2016,68401,18152,5625,8112,4415,50249,31883,16498,15385,18366
2015-2016,53880,14161,4338,5953,3870,39719,26377,13970,12407,13342
2015-2016,46217,19832,5810,8305,5717,26385,15856,7922,7934,10529
2015-2016,40993,7713,2316,3229,2168,33280,21363,11084,10279,11917
2015-2016,44614,11246,3430,4741,3075,33368,21721,11476,10245,11647
2015-2016,30583,8739,2696,3674,2369,21844,14166,7870,6296,7678
2015-2016,30170,8299,2485,3514,2300,21871,14115,7308,6807,7756
