Flu Season,Location of Immunization,≥ 6 months,6 months - 17 years,6 months - 4 years,5 - 12 years,13 - 17 years,≥ 18 years,18 - 64 years,18 - 49 years,50 -64 years,≥ 65 years
2017-2018,Alabama,7547,2671,854,1224,593,4876,3030,1560,1470,1846
2017-2018,Alaska,3690,1752,564,719,469,1938,1311,718,593,627
2017-2018,Arizona,12285,2358,740,1120,498,9927,5985,3168,2817,3942
2017-2018,Arkansas,6287,2129,647,925,557,4158,2031,909,1122,2127
2017-2018,California,10838,2355,809,950,596,8483,6643,4380,2263,1840
2017-2018,Colorado,7765,1828,610,780,438,5937,4008,2266,1742,1929
2017-2018,Connecticut,9648,2182,648,1102,432,7466,4631,2134,2497,2835
2017-2018,Delaware,6437,2282,684,1078,520,4155,2699,1419,1280,1456
2017-2018,District of Columbia,4122,2545,807,1033,705,1577,1109,686,423,468
2017-2018,Florida,13044,2888,912,1279,697,10156,6029,3254,2775,4127
2017-2018,Georgia,9328,2776,876,1292,608,6552,4399,2558,1841,2153
2017-2018,Hawaii,7481,1995,608,857,530,5486,3636,2074,1562,1850
2017-2018,Idaho,4391,1682,487,625,570,2709,1700,992,708,1009
2017-2018,Illinois,8472,4184,1259,1733,1192,4288,2839,1628,1211,1449
2017-2018,Indiana,9863,2007,648,905,454,7856,4806,2403,2403,3050
2017-2018,Iowa,7712,1364,458,548,358,6348,4267,2384,1883,2081
2017-2018,Kansas,13771,1471,440,589,442,12300,7934,4226,3708,4366
2017-2018,Kentucky,8375,1748,554,719,475,6627,4553,2438,2115,2074
2017-2018,Louisiana,4291,2267,736,985,546,2024,1491,846,645,533
2017-2018,Maine,9298,2219,664,1099,456,7079,4119,1892,2227,2960
2017-2018,Maryland,14178,3006,944,1272,790,11172,6495,2954,3541,4677
2017-2018,Massachusetts,7426,2034,664,906,464,5392,3478,1841,1637,1914
2017-2018,Michigan,7542,1836,595,767,474,5706,3769,2137,1632,1937
2017-2018,Minnesota,17022,1702,524,659,519,15320,10558,5819,4739,4762
2017-2018,Mississippi,6283,2958,932,1481,545,3325,2065,1070,995,1260
2017-2018,Missouri,5994,1790,558,704,528,4204,2509,1340,1169,1695
2017-2018,Montana,4892,1817,583,758,476,3075,1873,944,929,1202
2017-2018,Nebraska,13038,1495,500,562,433,11543,7351,4135,3216,4192
2017-2018,Nevada,4645,2178,661,907,610,2467,1498,831,667,969
2017-2018,New Hampshire,6233,1996,598,958,440,4237,2506,1107,1399,1731
2017-2018,New Jersey,9526,2938,955,1347,636,6588,4183,2041,2142,2405
2017-2018,New Mexico,7400,2295,712,1146,437,5105,3271,1715,1556,1834
2017-2018,New York,22031,4200,1444,1693,1063,17831,12491,7076,5415,5340
2017-2018,North Carolina,5342,2411,766,1091,554,2931,2073,1263,810,858
2017-2018,North Dakota,4798,1698,569,667,462,3100,1919,962,957,1181
2017-2018,Ohio,12801,2236,740,928,568,10565,6387,3058,3329,4178
2017-2018,Oklahoma,6536,2357,772,1014,571,4179,2514,1342,1172,1665
2017-2018,Oregon,5197,1673,493,730,450,3524,2351,1358,993,1173
2017-2018,Pennsylvania,7117,4517,1454,1863,1200,2600,1886,1161,725,714
2017-2018,Rhode Island,6250,2133,628,1098,407,4117,2577,1222,1355,1540
2017-2018,South Carolina,10267,2451,751,1134,566,7816,4247,2051,2196,3569
2017-2018,South Dakota,8116,1643,519,683,441,6473,3921,1989,1932,2552
2017-2018,Tennessee,4963,1787,590,726,471,3176,2153,1220,933,1023
2017-2018,Texas,18715,10516,3588,3245,3683,8199,5350,3182,2168,2849
2017-2018,Utah,9382,1755,565,696,494,7627,5728,3940,1788,1899
2017-2018,Vermont,6936,1997,585,1031,381,4939,3086,1483,1603,1853
2017-2018,Virginia,9944,2623,862,1088,673,7321,4658,2416,2242,2663
2017-2018,Washington,10814,1972,664,807,501,8842,5583,3122,2461,3259
2017-2018,West Virginia,6542,2508,785,1160,563,4034,2510,1219,1291,1524
2017-2018,Wisconsin,6323,2032,637,868,527,4291,2807,1506,1301,1484
2017-2018,Wyoming,5306,1804,558,776,470,3502,2138,1047,1091,1364
2017-2018,United States,436204,123061,39205,52323,31533,313143,201155,108486,92669,111988
2017-2018,Region  1,45779,12549,3784,6190,2575,33230,20397,9679,10718,12833
2017-2018,Region  2,31562,7143,2399,3043,1701,24419,16674,9117,7557,7745
2017-2018,Region  3,48331,17472,5535,7492,4445,30859,19357,9855,9502,11502
2017-2018,Region  4,65164,19705,6242,8946,4517,45459,28549,15414,13135,16910
2017-2018,Region  5,62025,13999,4403,5861,3735,48026,31166,16551,14615,16860
2017-2018,Region  6,43226,19561,6457,7311,5793,23665,14657,7994,6663,9008
2017-2018,Region  7,40513,6118,1956,2402,1760,34395,22061,12085,9976,12334
2017-2018,Region  8,40260,10546,3404,4360,2782,29714,19587,11148,8439,10127
2017-2018,Region  9,35250,8887,2817,3835,2235,26363,17762,10453,7309,8601
2017-2018,Region 10,24094,7081,2208,2883,1990,17013,10945,6190,4755,6068
